iter	Passed	Remaining
0	48	48758
1	50	25073
2	51	17010
3	52	12986
4	52	10489
5	53	8798
6	53	7586
7	53	6679
8	54	5972
9	55	5488
10	55	5023
11	57	4734
12	58	4407
13	58	4116
14	58	3860
15	59	3639
16	59	3445
17	60	3273
18	60	3121
19	60	2982
20	61	2859
21	61	2745
22	62	2639
23	62	2546
24	63	2459
25	63	2378
26	63	2302
27	64	2230
28	64	2164
29	65	2102
30	65	2045
31	65	1991
32	66	1940
33	66	1893
34	67	1850
35	67	1811
36	68	1772
37	68	1735
38	68	1699
39	69	1664
40	69	1635
41	70	1603
42	70	1573
43	71	1545
44	71	1517
45	71	1492
46	72	1468
47	72	1446
48	73	1424
49	73	1402
50	74	1380
51	74	1359
52	75	1340
53	75	1320
54	75	1301
55	76	1284
56	76	1270
57	77	1253
58	77	1237
59	77	1220
60	78	1206
61	78	1191
62	81	1218
63	83	1227
64	84	1220
65	85	1212
66	86	1199
67	86	1185
68	86	1172
69	87	1160
70	87	1147
71	88	1136
72	88	1125
73	89	1114
74	89	1104
75	89	1094
76	90	1083
77	90	1073
78	91	1063
79	91	1053
80	92	1044
81	92	1035
82	92	1024
83	93	1019
84	93	1010
85	94	1002
86	94	994
87	95	986
88	96	988
89	97	981
90	98	988
91	99	986
92	100	983
93	101	980
94	102	980
95	103	977
96	104	973
97	105	970
98	106	966
99	106	962
100	107	958
101	108	953
102	109	949
103	109	946
104	110	943
105	111	938
106	111	932
107	112	926
108	112	920
109	113	914
110	113	909
111	113	903
112	114	898
113	114	893
114	115	887
115	115	882
116	116	876
117	116	871
118	117	866
119	117	861
120	117	856
121	118	851
122	118	846
123	119	841
124	119	837
125	120	832
126	120	827
127	120	823
128	121	818
129	121	814
130	122	810
131	122	806
132	122	801
133	123	797
134	123	793
135	124	789
136	124	785
137	125	781
138	125	777
139	125	773
140	126	769
141	126	765
142	127	761
143	127	757
144	127	754
145	128	751
146	128	747
147	129	743
148	129	741
149	130	738
150	130	734
151	131	732
152	131	728
153	132	725
154	132	722
155	132	718
156	133	717
157	134	714
158	134	711
159	134	708
160	135	704
161	135	701
162	136	698
163	136	695
164	139	706
165	140	705
166	141	705
167	141	702
168	143	703
169	144	703
170	144	702
171	146	703
172	146	702
173	147	699
174	147	696
175	148	693
176	148	689
177	148	686
178	149	683
179	149	681
180	149	678
181	150	675
182	150	672
183	150	669
184	151	666
185	151	663
186	152	660
187	152	658
188	152	655
189	153	652
190	153	650
191	153	647
192	154	645
193	154	642
194	155	639
195	155	638
196	155	635
197	156	632
198	156	630
199	156	627
200	157	625
201	159	631
202	161	633
203	162	634
204	163	635
205	165	637
206	167	641
207	168	641
208	168	639
209	171	643
210	171	641
211	172	642
212	173	640
213	174	639
214	174	638
215	175	637
216	176	636
217	176	634
218	177	633
219	178	632
220	179	631
221	179	629
222	180	627
223	180	626
224	181	624
225	181	622
226	182	619
227	182	617
228	182	615
229	183	612
230	183	610
231	183	608
232	184	606
233	184	604
234	184	601
235	185	599
236	185	597
237	185	595
238	186	593
239	186	591
240	186	588
241	187	586
242	187	584
243	188	582
244	188	580
245	188	578
246	189	576
247	189	574
248	189	572
249	190	570
250	190	568
251	190	566
252	191	564
253	191	562
254	192	560
255	192	558
256	192	557
257	193	555
258	193	553
259	193	551
260	194	549
261	194	547
262	195	548
263	196	546
264	196	544
265	196	543
266	197	541
267	197	539
268	198	539
269	198	538
270	199	536
271	199	534
272	200	533
273	200	531
274	201	529
275	201	528
276	201	526
277	202	524
278	202	523
279	203	522
280	203	520
281	203	518
282	204	517
283	204	515
284	204	514
